,tweet,scores,tokens,length,absolutely_negative,very_negative,negative,neutral,positive,very_positive,perception
119,b'@tvnnoticias este man est\xc3\xa1 m\xc3\xa1s desconectado que el wifi d cable onda',[ 0  0  2  0  0  0  0  2  0 -3  0  0],"[""b'@tvnnoticias"", 'este', 'man', 'est\\xc3\\xa1', 'm\\xc3\\xa1s', 'desconectado', 'que', 'el', 'wifi', 'd', 'cable', ""onda'""]",85.0,2.0,0.0,0.0,8.0,0.0,4.0,0.0
119,b'bye amor de cuarentena',[ 0  2 -2  0],"[""b'bye"", 'amor', 'de', ""cuarentena'""]",25.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0
120,b'cable onda como siempre en las suyas \xf0\x9f\x99\x83\xf0\x9f\x99\x83',[ 0  0  0  0  1 -1  0  0],"[""b'cable"", 'onda', 'como', 'siempre', 'en', 'las', 'suyas', ""\\xf0\\x9f\\x99\\x83\\xf0\\x9f\\x99\\x83'""]",72.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0
120,"b'rt @timmyenchanclas: liam es un ser de luz, un amor de persona que a pasado por mucho y no merece todo el odio que le tiran, siempre busca\xe2\x80\xa6'","[ 0  0  0 -2  0  0 -2  0  0  2 -2  0  0 -3  0  0  0  0 -1  0  0  2 -2  0
 -2  0  0  0]","[""b'rt"", '@timmyenchanclas:', 'liam', 'es', 'un', 'ser', 'de', 'luz,', 'un', 'amor', 'de', 'persona', 'que', 'a', 'pasado', 'por', 'mucho', 'y', 'no', 'merece', 'todo', 'el', 'odio', 'que', 'le', 'tiran,', 'siempre', ""busca\\xe2\\x80\\xa6'""]",153.0,2.0,10.0,2.0,16.0,0.0,4.0,0.0
121,"b'hey, cable onda vale mucha verga, 17 putas horas sin internet fren. \xf0\x9f\x99\x82\xf0\x9f\xa4\xa1'",[0 0 0 0 0 0 0 0 0 0 0 0 0],"[""b'hey,"", 'cable', 'onda', 'vale', 'mucha', 'verga,', '17', 'putas', 'horas', 'sin', 'internet', 'fren.', ""\\xf0\\x9f\\x99\\x82\\xf0\\x9f\\xa4\\xa1'""]",103.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
121,"b'cuando tu ""amics"" t diga cosas feas aplica la de la chiquilla del amor. ""la solucion es el amo0r""'",[ 0  0  0 -3  0  0 -1  0 -1 -2 -1  0  0  0  0  0 -2  2  0],"[""b'cuando"", 'tu', '""amics""', 't', 'diga', 'cosas', 'feas', 'aplica', 'la', 'de', 'la', 'chiquilla', 'del', 'amor.', '""la', 'solucion', 'es', 'el', 'amo0r""\'']",100.0,2.0,4.0,6.0,10.0,0.0,2.0,0.0
122,b'cable onda de la ping',[ 0  0 -2 -1  0],"[""b'cable"", 'onda', 'de', 'la', ""ping'""]",24.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0
122,b'rt @jchavezzzz: amor de tu vida bb https://t.co/gd0ycnbtg0',[ 0  0  2 -2  0  0  0  0],"[""b'rt"", '@jchavezzzz:', 'amor', 'de', 'tu', 'vida', 'bb', ""https://t.co/gd0ycnbtg0'""]",61.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0
123,b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
123,b'\xf0\x9f\x90\xb6\xf0\x9f\x92\x95 qui\xc3\xa9n m\xc3\xa1s ama a sus #mascotas\xe2\x9d\x94\xe2\x9d\xa4\nque nos alegran el d\xc3\xada \xf0\x9f\x8c\x9e\xf0\x9f\x8c\x9c\nfeliz inicio de semana! \xe2\x98\x95\n\n#xperticiaonlineradio\xe2\x80\xa6 https://t.co/y4wil8kcgj',[ 0  0  0  0 -3  0  0  1  0  2  0  0  0 -2  0  0  0],"[""b'\\xf0\\x9f\\x90\\xb6\\xf0\\x9f\\x92\\x95"", 'qui\\xc3\\xa9n', 'm\\xc3\\xa1s', 'ama', 'a', 'sus', '#mascotas\\xe2\\x9d\\x94\\xe2\\x9d\\xa4\\nque', 'nos', 'alegran', 'el', 'd\\xc3\\xada', '\\xf0\\x9f\\x8c\\x9e\\xf0\\x9f\\x8c\\x9c\\nfeliz', 'inicio', 'de', 'semana!', '\\xe2\\x98\\x95\\n\\n#xperticiaonlineradio\\xe2\\x80\\xa6', ""https://t.co/y4wil8kcgj'""]",266.0,2.0,2.0,0.0,10.0,2.0,2.0,0.0
124,b'rt @luiseduardoalf5: cable onda go es lo mejor que tiene cable onda \xf0\x9f\xa5\xb4',[ 0  0  0  0  0 -2 -1  2  0  0  0  0  0],"[""b'rt"", '@luiseduardoalf5:', 'cable', 'onda', 'go', 'es', 'lo', 'mejor', 'que', 'tiene', 'cable', 'onda', ""\\xf0\\x9f\\xa5\\xb4'""]",87.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0
124,"b'rt @fuerzasmilcol: nuestra bandera, s\xc3\xadmbolo de amor y entrega por #colombia. por eso los soldados aviadores rendimos un homenaje a estos 21\xe2\x80\xa6'",[ 0  0  0  0  0 -2  2  0  0  0  0  0  0 -1  0  0  0  0  0 -3  0  0],"[""b'rt"", '@fuerzasmilcol:', 'nuestra', 'bandera,', 's\\xc3\\xadmbolo', 'de', 'amor', 'y', 'entrega', 'por', '#colombia.', 'por', 'eso', 'los', 'soldados', 'aviadores', 'rendimos', 'un', 'homenaje', 'a', 'estos', ""21\\xe2\\x80\\xa6'""]",161.0,2.0,2.0,2.0,8.0,0.0,2.0,0.0
125,b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
125,b'rt @rguezzale: encontrar amor y amistad en la misma persona es ganar en la vida.',[ 0  0  0  2  0  0  1 -1  0  0 -2  0  1 -1  0],"[""b'rt"", '@rguezzale:', 'encontrar', 'amor', 'y', 'amistad', 'en', 'la', 'misma', 'persona', 'es', 'ganar', 'en', 'la', ""vida.'""]",83.0,0.0,2.0,4.0,10.0,4.0,2.0,0.0
126,b'todos los d\xc3\xadas amanezco con un problema diferente de cable onda hasta cuandoooooolo',[ 0 -1  0  0  0  0  0  0 -2  0  0  0  0],"[""b'todos"", 'los', 'd\\xc3\\xadas', 'amanezco', 'con', 'un', 'problema', 'diferente', 'de', 'cable', 'onda', 'hasta', ""cuandoooooolo'""]",93.0,0.0,2.0,2.0,6.0,0.0,0.0,0.0
126,b'rt @iuzdelalma: como pueden menospreciar a abel cuando nos dio la joya de todo por igual deberia estar compartido al ardor deeste friiooooo\xe2\x80\xa6',[ 0  0  0  0  0 -3  0  0  1 -2 -1  0 -2  0  0  0  0  0  0 -1  0  0  0],"[""b'rt"", '@iuzdelalma:', 'como', 'pueden', 'menospreciar', 'a', 'abel', 'cuando', 'nos', 'dio', 'la', 'joya', 'de', 'todo', 'por', 'igual', 'deberia', 'estar', 'compartido', 'al', 'ardor', 'deeste', ""friiooooo\\xe2\\x80\\xa6'""]",154.0,2.0,4.0,4.0,10.0,2.0,0.0,0.0
127,b'ayer vino la luz a las 2 am porque a esa hora reci\xc3\xa9n pudieron venir a conectar el cable de nuevo jaja que onda banda',"[ 0  0 -1  0 -3 -1  0  2  0 -3  0  0  0  0  0 -3  0  2  0 -2  0  0  0  0
  0]","[""b'ayer"", 'vino', 'la', 'luz', 'a', 'las', '2', 'am', 'porque', 'a', 'esa', 'hora', 'reci\\xc3\\xa9n', 'pudieron', 'venir', 'a', 'conectar', 'el', 'cable', 'de', 'nuevo', 'jaja', 'que', 'onda', ""banda'""]",126.0,6.0,2.0,4.0,16.0,0.0,4.0,0.0
127,b'rt @dparleymexico: el de hoy para manejo de bank\n\nechenle amor y cari\xc3\xb1o para que ganemos todos \n\n\xe2\x9d\xa4 y rt https://t.co/yh0kt4t41m',[ 0  0  2 -2  0  0  0 -2  0  2  0  0  0  0  0  0  0  0 -2  0],"[""b'rt"", '@dparleymexico:', 'el', 'de', 'hoy', 'para', 'manejo', 'de', 'bank\\n\\nechenle', 'amor', 'y', 'cari\\xc3\\xb1o', 'para', 'que', 'ganemos', 'todos', '\\n\\n\\xe2\\x9d\\xa4', 'y', 'rt', ""https://t.co/yh0kt4t41m'""]",152.0,0.0,6.0,0.0,10.0,0.0,4.0,0.0
128,b'te amo @teamcableonda desde hoy puedo volver a ver la premier desde cable onda go \xf0\x9f\xa5\xb0',[ 0  2  0  0  0  0  0 -3 -3 -1  0  0  0  0  0  0],"[""b'te"", 'amo', '@teamcableonda', 'desde', 'hoy', 'puedo', 'volver', 'a', 'ver', 'la', 'premier', 'desde', 'cable', 'onda', 'go', ""\\xf0\\x9f\\xa5\\xb0'""]",101.0,2.0,0.0,2.0,6.0,0.0,2.0,0.0
128,"b'rt @cityoran: un d\xc3\xada una amiga me estaba contando su historia de amor que nunca funcion\xc3\xb3, la escuche y lo dijo con tanto sentimiento que me\xe2\x80\xa6'","[ 0  0  0  0  0  0  2  0  0  0  0 -2  2  0  0  0 -1  0  0 -1  0  0  0  0
  0  0]","[""b'rt"", '@cityoran:', 'un', 'd\\xc3\\xada', 'una', 'amiga', 'me', 'estaba', 'contando', 'su', 'historia', 'de', 'amor', 'que', 'nunca', 'funcion\\xc3\\xb3,', 'la', 'escuche', 'y', 'lo', 'dijo', 'con', 'tanto', 'sentimiento', 'que', ""me\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,4.0,10.0,0.0,4.0,0.0
129,b'rt @black_memes507: profe: \xc2\xbfpor qu\xc3\xa9 sali\xc3\xb3 de clase virtual?\nyo: soy cable onda\nprofe: https://t.co/oiia2jin07',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0],"[""b'rt"", '@black_memes507:', 'profe:', '\\xc2\\xbfpor', 'qu\\xc3\\xa9', 'sali\\xc3\\xb3', 'de', 'clase', 'virtual?\\nyo:', 'soy', 'cable', 'onda\\nprofe:', ""https://t.co/oiia2jin07'""]",135.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
129,b'@ivansi70 @tyson_d3mon @10macb @bananoverdolaga @tavo201977 tranquilo que todos sabemos tu amor por narcopam',[0 0 0 0 0 0 0 0 0 0 2 0 0],"[""b'@ivansi70"", '@tyson_d3mon', '@10macb', '@bananoverdolaga', '@tavo201977', 'tranquilo', 'que', 'todos', 'sabemos', 'tu', 'amor', 'por', ""narcopam'""]",111.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
130,b'cable onda eres una verga',[0 0 0 0 0],"[""b'cable"", 'onda', 'eres', 'una', ""verga'""]",28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
130,"b'@idara_33 @satan_ghoul666 eso es amor del bueno, dios les bendiga .'",[ 0  0  0 -2  2  0  0  0 -2  0  0],"[""b'@idara_33"", '@satan_ghoul666', 'eso', 'es', 'amor', 'del', 'bueno,', 'dios', 'les', 'bendiga', "".'""]",70.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0
131,b'rt @jeremyjosephv: cable onda viendo que todos pensaban que se hab\xc3\xada ca\xc3\xaddo otra vez: https://t.co/kfnzxs2dge',[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],"[""b'rt"", '@jeremyjosephv:', 'cable', 'onda', 'viendo', 'que', 'todos', 'pensaban', 'que', 'se', 'hab\\xc3\\xada', 'ca\\xc3\\xaddo', 'otra', 'vez:', ""https://t.co/kfnzxs2dge'""]",125.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
131,b'@krajita co\xc3\xb1o mi amor pero tu nojombre vale... https://t.co/p4p2qk6obj',[ 0  0 -3  2  0  0  0  0  0],"[""b'@krajita"", 'co\\xc3\\xb1o', 'mi', 'amor', 'pero', 'tu', 'nojombre', 'vale...', ""https://t.co/p4p2qk6obj'""]",80.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0
132,b'cable onda go es lo mejor que tiene cable onda \xf0\x9f\xa5\xb4',[ 0  0  0 -2 -1  2  0  0  0  0  0],"[""b'cable"", 'onda', 'go', 'es', 'lo', 'mejor', 'que', 'tiene', 'cable', 'onda', ""\\xf0\\x9f\\xa5\\xb4'""]",66.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0
132,"b'dedicar una canci\xc3\xb3n de mxmtoon, esa es mi muestra de mayor amor. https://t.co/g0b7npu6tr'",[ 0  0  0 -2  0  0 -2 -3  0 -2  0  0  0],"[""b'dedicar"", 'una', 'canci\\xc3\\xb3n', 'de', 'mxmtoon,', 'esa', 'es', 'mi', 'muestra', 'de', 'mayor', 'amor.', ""https://t.co/g0b7npu6tr'""]",98.0,2.0,6.0,0.0,8.0,0.0,0.0,0.0
133,b'rt @oscaritowcr7: @felipgaldamez aaaaaaaaa jajajajajabuena onda es que yo tengo cuenta con @purakuraweb  ya es otro nivel recomendado alli\xe2\x80\xa6',[ 0  0  0  0  0  0 -2  0  0  0  0  0  0  0 -2  0  0  0  0],"[""b'rt"", '@oscaritowcr7:', '@felipgaldamez', 'aaaaaaaaa', 'jajajajajabuena', 'onda', 'es', 'que', 'yo', 'tengo', 'cuenta', 'con', '@purakuraweb', 'ya', 'es', 'otro', 'nivel', 'recomendado', ""alli\\xe2\\x80\\xa6'""]",153.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
133,"b'rt @delmarr_v: feliz d\xc3\xada, amigas de mi vida. para ustedes son todas las canciones de amor. https://t.co/epu98kilig'",[ 0  0  2  0  0 -2 -3  0  0  0  0  0 -1  0 -2  0  0],"[""b'rt"", '@delmarr_v:', 'feliz', 'd\\xc3\\xada,', 'amigas', 'de', 'mi', 'vida.', 'para', 'ustedes', 'son', 'todas', 'las', 'canciones', 'de', 'amor.', ""https://t.co/epu98kilig'""]",124.0,2.0,4.0,2.0,10.0,0.0,2.0,0.0
134,b'@felipgaldamez aaaaaaaaa jajajajajabuena onda es que yo tengo cuenta con @purakuraweb  ya es otro nivel recomendado\xe2\x80\xa6 https://t.co/egcms8smyd',[ 0  0  0  0 -2  0  0  0  0  0  0  0 -2  0  0  0  0],"[""b'@felipgaldamez"", 'aaaaaaaaa', 'jajajajajabuena', 'onda', 'es', 'que', 'yo', 'tengo', 'cuenta', 'con', '@purakuraweb', 'ya', 'es', 'otro', 'nivel', 'recomendado\\xe2\\x80\\xa6', ""https://t.co/egcms8smyd'""]",154.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
134,"b'pero el mundo est\xc3\xa1 agotado, y la \xc3\xbanica riqueza que nos queda es el amor. \xf0\x9f\x8c\xb9\xf0\x9f\x92\x9b'",[ 0  2  0  0  0  0 -1  0  0  0  1  0 -2  2  0  0],"[""b'pero"", 'el', 'mundo', 'est\\xc3\\xa1', 'agotado,', 'y', 'la', '\\xc3\\xbanica', 'riqueza', 'que', 'nos', 'queda', 'es', 'el', 'amor.', ""\\xf0\\x9f\\x8c\\xb9\\xf0\\x9f\\x92\\x9b'""]",122.0,0.0,2.0,2.0,10.0,2.0,4.0,0.0
135,b'cable onda o cable &amp; wireless para internet?',[ 0  0 -2  0  0  0  0  0],"[""b'cable"", 'onda', 'o', 'cable', '&amp;', 'wireless', 'para', ""internet?'""]",51.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
135,"b'@ltwtbslonely no te preocupes amor van a seguir liberando e igualmente hay muchas personas que venden sus entradas,\xe2\x80\xa6 https://t.co/mlin9a2yxc'",[ 0 -1 -2  0  2  0 -3  0  0 -3  0  0  0  0  0  0  0  0  0],"[""b'@ltwtbslonely"", 'no', 'te', 'preocupes', 'amor', 'van', 'a', 'seguir', 'liberando', 'e', 'igualmente', 'hay', 'muchas', 'personas', 'que', 'venden', 'sus', 'entradas,\\xe2\\x80\\xa6', ""https://t.co/mlin9a2yxc'""]",154.0,4.0,2.0,2.0,10.0,0.0,2.0,0.0
136,b'rt @anthonyy_e: yo viendo historias con el wifi de cable onda \xf0\x9f\xa4\xa1 https://t.co/m0zbtyyoif',[ 0  0  0  0  0  0  2  0 -2  0  0  0  0],"[""b'rt"", '@anthonyy_e:', 'yo', 'viendo', 'historias', 'con', 'el', 'wifi', 'de', 'cable', 'onda', '\\xf0\\x9f\\xa4\\xa1', ""https://t.co/m0zbtyyoif'""]",105.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
136,b'rt @mel_medrano10: camilo fue novio de evaluna mucho tiempo y ahora que son esposos \xc3\xa9l sigue demostrandole su amor como desde el primer d\xc3\xada\xe2\x80\xa6',[ 0  0  0  0  0 -2  0  0  0  0  0  0  0  0  0  0  0  0  2  0  0  2  0  0],"[""b'rt"", '@mel_medrano10:', 'camilo', 'fue', 'novio', 'de', 'evaluna', 'mucho', 'tiempo', 'y', 'ahora', 'que', 'son', 'esposos', '\\xc3\\xa9l', 'sigue', 'demostrandole', 'su', 'amor', 'como', 'desde', 'el', 'primer', ""d\\xc3\\xada\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,0.0,8.0,0.0,4.0,0.0
137,b'rt @avanzadaj05: youtube: hosanna visi\xc3\xb3n \nhosanna vision:\n- canal 93 de cable onda\n- canal 37 de cable &amp; wireless\n- https://t.co/1bcbrcszen\xe2\x80\xa6',[ 0  0  0  0  0  0  0  0  0 -2  0  0  0  0 -2  0  0  0  0],"[""b'rt"", '@avanzadaj05:', 'youtube:', 'hosanna', 'visi\\xc3\\xb3n', '\\nhosanna', 'vision:\\n-', 'canal', '93', 'de', 'cable', 'onda\\n-', 'canal', '37', 'de', 'cable', '&amp;', 'wireless\\n-', ""https://t.co/1bcbrcszen\\xe2\\x80\\xa6'""]",169.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
137,b'@tiffanymx1 tienes bien deliciosas las nalgas bbe para darte unas mamadas en todo el culito y la panochita amor \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d',[ 0  0  1  0 -1  0  0  0  0  0  0  1  0  2  0  0 -1  0  2  0],"[""b'@tiffanymx1"", 'tienes', 'bien', 'deliciosas', 'las', 'nalgas', 'bbe', 'para', 'darte', 'unas', 'mamadas', 'en', 'todo', 'el', 'culito', 'y', 'la', 'panochita', 'amor', ""\\xf0\\x9f\\x98\\x8d\\xf0\\x9f\\x98\\x8d\\xf0\\x9f\\x98\\x8d'""]",163.0,0.0,0.0,4.0,14.0,4.0,4.0,0.0
138,b'@victorenriqueq lo pasaran en cable onda go bro',[ 0 -1  0  1  0  0  0  0],"[""b'@victorenriqueq"", 'lo', 'pasaran', 'en', 'cable', 'onda', 'go', ""bro'""]",50.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0
138,"b'hoy hace un a\xc3\xb1o conoc\xc3\xad que es el amor, y le juro que es lo m\xc3\xa1s hermoso del mundo que te quiero de verdad.'",[ 0  0  0  0  0  0 -2  2  0  0 -2  0  0 -2 -1  0  2  0  0  0 -2  0 -2  0],"[""b'hoy"", 'hace', 'un', 'a\\xc3\\xb1o', 'conoc\\xc3\\xad', 'que', 'es', 'el', 'amor,', 'y', 'le', 'juro', 'que', 'es', 'lo', 'm\\xc3\\xa1s', 'hermoso', 'del', 'mundo', 'que', 'te', 'quiero', 'de', ""verdad.'""]",129.0,0.0,10.0,2.0,14.0,0.0,4.0,0.0
139,"b'tengo un parcial de la u y no hay internet desde ayer. que xopa con cable onda, siempre la misma vaina.'",[ 0  0  0 -2 -1 -3  0 -1  0  0  0  0  0  0  0  0  0  0 -1  0  0],"[""b'tengo"", 'un', 'parcial', 'de', 'la', 'u', 'y', 'no', 'hay', 'internet', 'desde', 'ayer.', 'que', 'xopa', 'con', 'cable', 'onda,', 'siempre', 'la', 'misma', ""vaina.'""]",106.0,2.0,2.0,6.0,8.0,0.0,0.0,0.0
139,b'trabajar desde casa es demasiado amor odio',[ 0  0  0 -2  0  2  0],"[""b'trabajar"", 'desde', 'casa', 'es', 'demasiado', 'amor', ""odio'""]",45.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
140,"b'wipet lo tiene f\xc3\xa1cil, todo mundo se \xf0\x9f\x92\xa9 en c&amp;w y cable onda (hasta es meme), pero llevan a\xc3\xb1os diciendo que est\xc3\xa1n expa\xe2\x80\xa6 https://t.co/v3hbqojexb'",[ 0 -1  0  0  0  0  0  0  1  0  0  0  0  0 -2  0  0  0  0  0  0  0  0  0],"[""b'wipet"", 'lo', 'tiene', 'f\\xc3\\xa1cil,', 'todo', 'mundo', 'se', '\\xf0\\x9f\\x92\\xa9', 'en', 'c&amp;w', 'y', 'cable', 'onda', '(hasta', 'es', 'meme),', 'pero', 'llevan', 'a\\xc3\\xb1os', 'diciendo', 'que', 'est\\xc3\\xa1n', 'expa\\xe2\\x80\\xa6', ""https://t.co/v3hbqojexb'""]",194.0,0.0,2.0,2.0,8.0,2.0,0.0,0.0
140,"b'rt @kingsbts7: no necesitan ser ricos, ni tener toda la merch de los chicos tampoco ir al d\xc3\xada con sus \xc3\xa1lbumes para validar que son armys, n\xe2\x80\xa6'","[ 0  0 -1  0  0  0  1  0  0 -1  0 -2 -1  0  0  0 -1  0  0  0  0  0  0  0
  0  0  0]","[""b'rt"", '@kingsbts7:', 'no', 'necesitan', 'ser', 'ricos,', 'ni', 'tener', 'toda', 'la', 'merch', 'de', 'los', 'chicos', 'tampoco', 'ir', 'al', 'd\\xc3\\xada', 'con', 'sus', '\\xc3\\xa1lbumes', 'para', 'validar', 'que', 'son', 'armys,', ""n\\xe2\\x80\\xa6'""]",168.0,0.0,2.0,8.0,12.0,2.0,0.0,0.0
141,b'rt @avanzadaj05: youtube: hosanna visi\xc3\xb3n \nhosanna vision:\n- canal 93 de cable onda\n- canal 37 de cable &amp; wireless\n- https://t.co/1bcbrcszen\xe2\x80\xa6',[ 0  0  0  0  0  0  0  0  0 -2  0  0  0  0 -2  0  0  0  0],"[""b'rt"", '@avanzadaj05:', 'youtube:', 'hosanna', 'visi\\xc3\\xb3n', '\\nhosanna', 'vision:\\n-', 'canal', '93', 'de', 'cable', 'onda\\n-', 'canal', '37', 'de', 'cable', '&amp;', 'wireless\\n-', ""https://t.co/1bcbrcszen\\xe2\\x80\\xa6'""]",169.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
141,"b'el mv de @bts_twt ""mic drop"" ha sobrepasado los 700m de views.\nvamos armys a seguir d\xc3\xa1ndole amor a esta joyita!\xf0\x9f\xa5\xba\xf0\x9f\x92\x9c\xe2\x80\xa6 https://t.co/gc6t1jfhwk'",[ 0  0 -2  0  0  0 -3  0 -1  0 -2  0  0 -3  0  0  2 -3 -2  0  0],"[""b'el"", 'mv', 'de', '@bts_twt', '""mic', 'drop""', 'ha', 'sobrepasado', 'los', '700m', 'de', 'views.\\nvamos', 'armys', 'a', 'seguir', 'd\\xc3\\xa1ndole', 'amor', 'a', 'esta', 'joyita!\\xf0\\x9f\\xa5\\xba\\xf0\\x9f\\x92\\x9c\\xe2\\x80\\xa6', ""https://t.co/gc6t1jfhwk'""]",190.0,6.0,6.0,2.0,14.0,0.0,2.0,0.0
142,b'que onda con el canal 2?? es mi cable o que?',[ 0  0  0  2  0  0 -2 -3  0 -2  0],"[""b'que"", 'onda', 'con', 'el', 'canal', '2??', 'es', 'mi', 'cable', 'o', ""que?'""]",47.0,2.0,4.0,0.0,8.0,0.0,2.0,0.0
142,"b'si morimos y hay un cielo, me escapare del infierno y te har\xc3\xa9 el amor en una nube, en honor a nuestros recuerdos.\xf0\x9f\x8e\xbc\xf0\x9f\x92\xab'",[ 0  0  0  0  0  0  2  0  0  0  0 -2  0  2  2  1  0  0  1  0 -3  0  0],"[""b'si"", 'morimos', 'y', 'hay', 'un', 'cielo,', 'me', 'escapare', 'del', 'infierno', 'y', 'te', 'har\\xc3\\xa9', 'el', 'amor', 'en', 'una', 'nube,', 'en', 'honor', 'a', 'nuestros', ""recuerdos.\\xf0\\x9f\\x8e\\xbc\\xf0\\x9f\\x92\\xab'""]",155.0,2.0,2.0,0.0,12.0,4.0,4.0,0.0
143,b'rt @eneliaeeo: cable onda dando problemas desde hace mas de 5 dias. empezamos clases el lunes.',[ 0  0  0  0  0  0  0  0  0 -2  0  0  0  0  2  0],"[""b'rt"", '@eneliaeeo:', 'cable', 'onda', 'dando', 'problemas', 'desde', 'hace', 'mas', 'de', '5', 'dias.', 'empezamos', 'clases', 'el', ""lunes.'""]",97.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
143,b'rt @sikkaria: amor es cuando luis y yo llegamos a las tantas a casa de una fiesta nos metemos en la cama y me dice \xe2\x80\x9cno te vas a desmaquilla\xe2\x80\xa6',"[ 0  0  2 -2  0  0  0  0  0 -3 -1  0 -3  0 -2  0  0  1  0  1 -1  0  0  2
  0  0 -2  0 -3  0]","[""b'rt"", '@sikkaria:', 'amor', 'es', 'cuando', 'luis', 'y', 'yo', 'llegamos', 'a', 'las', 'tantas', 'a', 'casa', 'de', 'una', 'fiesta', 'nos', 'metemos', 'en', 'la', 'cama', 'y', 'me', 'dice', '\\xe2\\x80\\x9cno', 'te', 'vas', 'a', ""desmaquilla\\xe2\\x80\\xa6'""]",165.0,6.0,6.0,4.0,20.0,4.0,4.0,0.0
144,"b'estamos secuestrados por cable onda o cable and wireless. ten\xc3\xadamos cable onda y como se ca\xc3\xada a cada rato, nos cambi\xe2\x80\xa6 https://t.co/peebowxdix'",[ 0  0  0  0  0 -2  0  0  0  0  0  0  0  0  0  0 -3  2  0  1  0  0],"[""b'estamos"", 'secuestrados', 'por', 'cable', 'onda', 'o', 'cable', 'and', 'wireless.', 'ten\\xc3\\xadamos', 'cable', 'onda', 'y', 'como', 'se', 'ca\\xc3\\xada', 'a', 'cada', 'rato,', 'nos', 'cambi\\xe2\\x80\\xa6', ""https://t.co/peebowxdix'""]",168.0,2.0,2.0,0.0,8.0,2.0,2.0,0.0
144,b'@elcosodelapizza entinces nunca voy a tener amor mutuo',[ 0  0  0  0 -3  0  2  0],"[""b'@elcosodelapizza"", 'entinces', 'nunca', 'voy', 'a', 'tener', 'amor', ""mutuo'""]",57.0,2.0,0.0,0.0,6.0,0.0,2.0,0.0
145,b'cable onda dando problemas desde hace mas de 5 dias. empezamos clases el lunes.',[ 0  0  0  0  0  0  0 -2  0  0  0  0  2  0],"[""b'cable"", 'onda', 'dando', 'problemas', 'desde', 'hace', 'mas', 'de', '5', 'dias.', 'empezamos', 'clases', 'el', ""lunes.'""]",82.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0
145,"b'rt @dra_calegria: ""ojal\xc3\xa1 que el amor sea la pr\xc3\xb3xima pandemia"".\n@julymed08'",[ 0  0  0  0  2  2  0 -1  0  0],"[""b'rt"", '@dra_calegria:', '""ojal\\xc3\\xa1', 'que', 'el', 'amor', 'sea', 'la', 'pr\\xc3\\xb3xima', 'pandemia"".\\n@julymed08\'']",91.0,0.0,0.0,2.0,6.0,0.0,2.0,0.0
